Excel_Row,Disease,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Description
206,Burkitt's lymphoma,2A85.6 Burkitt lymphoma including Burkitt leukaemia,2A85 Other specified mature B-cell neoplasms or lymphoma,Mature B-cell neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,Burkitt's lymphoma is a highly aggressive B-cell non-Hodgkin lymphoma.
207,cancer,2D4Z Unspecified malignant neoplasms of unspecified sites,Malignant neoplasms of ill-defined or unspecified primary sites,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body.
208,cancers of the head and neck,"2C4Z Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",Malignant neoplasms of peripheral nerves or autonomic nervous system,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,"Cancers of the head and neck are a group of malignancies that arise in the oral cavity, pharynx, larynx, nasal cavity, and salivary glands."
209,carcinoma,2D41 Unspecified carcinoma of unspecified site,Malignant neoplasms of ill-defined or unspecified primary sites,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,Carcinoma is a type of cancer that begins in the epithelial tissue of the skin or internal organs.
210,cervical cancer,"2C77.Z Malignant neoplasms of cervix uteri, unspecified",2C77 Malignant neoplasms of cervix uteri,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Cervical cancer is a type of cancer that occurs in the cells of the cervix.
211,cervical malignancies,"2C77.Z Malignant neoplasms of cervix uteri, unspecified",2C77 Malignant neoplasms of cervix uteri,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Cervical malignancies are cancers originating in the cervix.
212,Chronic lymphocytic leukemia,2A82.00 Chronic lymphocytic leukaemia of B-cell type,2A82.0 Chronic lymphocytic leukaemia or small lymphocytic lymphoma,2A82 Mature B-cell neoplasm with leukaemic behaviour,Mature B-cell neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,Chronic lymphocytic leukemia (CLL) is a type of cancer of the blood and bone marrow.
213,chronic myeloid leukemia,"2B33.2 Chronic myeloid leukaemia, not elsewhere classified",2B33 Malignant haematopoietic neoplasms without further specification,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,Chronic myeloid leukemia is a type of cancer of the blood cells.
214,clear cell ovarian carcinoma,2C73.00 Clear cell adenocarcinoma of ovary,2C73.0 Carcinomas of ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,Clear cell ovarian carcinoma (CCOC) is a type of ovarian cancer associated with endometriosis.
215,Colon adenocarcinoma,2B90.Y Other specified malignant neoplasms of colon,2B90 Malignant neoplasms of colon,Malignant neoplasms of large intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,Colon adenocarcinoma is a type of cancer that forms in the glandular cells lining the colon.
216,colon cancer,"2B90.Z Malignant neoplasms of colon, unspecified",2B90 Malignant neoplasms of colon,Malignant neoplasms of large intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,Colon cancer is a type of cancer that begins in the large intestine (colon).
217,colonic adenoma,2E92.4Y Other specified benign neoplasm of the large intestine,2E92.4 Benign neoplasm of the large intestine,2E92 Benign neoplasm of digestive organs,Benign non-mesenchymal neoplasms,"Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Colonic adenoma is a benign tumor of the colon, considered a precursor to colorectal cancer."
218,colorectal cancer,"2B91.Z Malignant neoplasms of rectosigmoid junction, unspecified",2B91 Malignant neoplasms of rectosigmoid junction,Malignant neoplasms of large intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,Colorectal cancer is a cancer that starts in the colon or rectum.
219,colorectal carcinoma,"2B91.Z Malignant neoplasms of rectosigmoid junction, unspecified",2B91 Malignant neoplasms of rectosigmoid junction,Malignant neoplasms of large intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,A type of cancer that occurs in the colon or rectum.
220,colorectal tumors,"2B91.Z Malignant neoplasms of rectosigmoid junction, unspecified",2B91 Malignant neoplasms of rectosigmoid junction,Malignant neoplasms of large intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,Tumors originating in the colon or rectum.
221,colorectal tumours,"2B91.Z Malignant neoplasms of rectosigmoid junction, unspecified",2B91 Malignant neoplasms of rectosigmoid junction,Malignant neoplasms of large intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,"Tumors arising in the colon or rectum, a type of cancer."
222,cutaneous melanoma,"2C30.Z Melanoma of skin, unspecified",2C30 Melanoma of skin,Malignant neoplasms of skin,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Cutaneous melanoma is a type of skin cancer that arises from melanocytes.
223,Diffuse large B-cell lymphoma,"2A81.Z Diffuse large B-cell lymphoma, not otherwise specified",2A81 Diffuse large B-cell lymphomas,Mature B-cell neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,Diffuse large B-cell lymphoma (DLBCL) is a type of aggressive non-Hodgkin lymphoma.
224,ductal adenocarcinoma of the breast,2E65.Y Other specified carcinoma in situ of breast,2E65 Carcinoma in situ of breast,"In situ neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,Ductal adenocarcinoma of the breast is a type of breast cancer that originates in the milk ducts.
225,Ductal carcinoma in situ (DCIS),2E65.2 Ductal carcinoma in situ of breast,2E65 Carcinoma in situ of breast,"In situ neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,A non-invasive breast cancer where abnormal cells are found in the lining of a breast duct but have not spread outside the duct.
226,embryonal carcinoma,2C80.2 Germ cell tumour of testis,2C80 Malignant neoplasms of testis,Malignant neoplasms of male genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Embryonal carcinoma is a type of malignant germ cell tumor.
227,endometrial cancer,"2C76.Z Malignant neoplasms of corpus uteri, unspecified",2C76 Malignant neoplasms of corpus uteri,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Endometrial cancer is a type of cancer that begins in the lining of the uterus (endometrium).
228,endometrial malignancies,"2C76.Z Malignant neoplasms of corpus uteri, unspecified",2C76 Malignant neoplasms of corpus uteri,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Endometrial malignancies are cancers originating in the lining of the uterus.
229,endometrial tumor,"2F31.1 Benign non-mesenchymal neoplasm of uterus, corpus uteri",2F31 Benign non-mesenchymal neoplasms of uterus,Benign non-mesenchymal neoplasms,"Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,A type of cancer that forms in the tissue lining the uterus (endometrium).
230,endometrioid ovarian carcinoma,2C73.01 Endometrioid adenocarcinoma of ovary,2C73.0 Carcinomas of ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,Endometrioid ovarian carcinoma (ENOC) is a type of ovarian cancer associated with endometriosis.
231,epithelial cancers,"2C24.2 Malignant epithelial neoplasms of trachea, unspecified type",2C24 Malignant neoplasms of trachea,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Epithelial cancers are malignancies arising from epithelial tissues, where somatic L1 retrotransposition activity has been observed."
232,Epithelial ovarian cancer,2B5D.0 Malignant mixed epithelial mesenchymal tumour of ovary,"2B5D Malignant mixed epithelial mesenchymal tumour, primary site",Malignant mesenchymal neoplasms,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Epithelial ovarian cancer (EOC) is a malignant tumor originating from the epithelial cells of the ovary.
233,epithelial tumors,2C27.Y Other specified malignant neoplasms of thymus,2C27 Malignant neoplasms of thymus,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Tumors originating from epithelial cells, in which LINE-1s are highly active."
234,esophageal adenocarcinoma,"2B70.0Z Adenocarcinoma of oesophagus, unspecified",2B70.0 Adenocarcinoma of oesophagus,2B70 Malignant neoplasms of oesophagus,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,Esophageal adenocarcinoma is a type of cancer that forms in the glandular cells of the esophagus.
235,esophageal cancer,"2B70.Z Malignant neoplasms of oesophagus, unspecified",2B70 Malignant neoplasms of oesophagus,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Esophageal cancer is a type of upper gastrointestinal cancer.
236,Esophageal squamous cell carcinoma,2B70.1 Squamous cell carcinoma of oesophagus,2B70 Malignant neoplasms of oesophagus,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Esophageal squamous cell carcinoma (ESCC) is a type of cancer that forms in the squamous cells lining the esophagus.
237,Gastric adenocarcinoma,2B72.0 Adenocarcinoma of stomach,2B72 Malignant neoplasms of stomach,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Gastric adenocarcinoma is a specific histological type of gastric cancer originating from glandular cells in the stomach lining.
238,gastric cancer,"2B72.Z Malignant neoplasms of stomach, unspecified",2B72 Malignant neoplasms of stomach,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Gastric cancer is a cancer that begins in the stomach.
239,gastroesophageal cancers,"2B71.Z Malignant neoplasms of oesophagogastric junction, unspecified",2B71 Malignant neoplasms of oesophagogastric junction,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Gastroesophageal cancers are cancers that occur in the gastroesophageal junction or the esophagus.
240,gastrointestinal cancer,"2C11.Z Malignant neoplasms of other or ill-defined digestive organs, unspecified",2C11 Malignant neoplasms of other or ill-defined digestive organs,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Gastrointestinal (GI) cancer refers to cancers of the digestive system, including colorectal, pancreatic, and gastric cancers."
241,gastrointestinal tumors,"2F90.Z Neoplasms of unknown behaviour of oral cavity and digestive organs, unspecified site",2F90 Neoplasms of unknown behaviour of oral cavity or digestive organs,"Neoplasms of unknown behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,"Gastrointestinal tumors are cancers that occur in the digestive system, including the colon and rectum."
242,germ cell cancer,2C73.Y Other specified malignant neoplasms of the ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"A type of cancer that originates from germ cells, which are the cells that give rise to sperm and eggs."
243,Glioblastoma,2A00.00 Glioblastoma of brain,2A00.0 Gliomas of brain,2A00 Primary neoplasms of brain,Neoplasms of brain or central nervous system,02 Neoplasms,,,,Glioblastoma (GBM) is an aggressive type of brain cancer.
244,Glioblastoma multiforme,2A00.00 Glioblastoma of brain,2A00.0 Gliomas of brain,2A00 Primary neoplasms of brain,Neoplasms of brain or central nervous system,02 Neoplasms,,,,Glioblastoma multiforme (GBM) is the most common and aggressive malignant primary brain tumor in adults.
245,Glioma,"2A00.0Z Gliomas of brain, unspecified",2A00.0 Gliomas of brain,2A00 Primary neoplasms of brain,Neoplasms of brain or central nervous system,02 Neoplasms,,,,Glioma is an aggressive type of brain tumor.
246,gynecologic tumors,"2C7Z Malignant neoplasms of female genital organs, unspecified",Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,Gynecologic tumors are cancers that affect the female reproductive system.
247,haematological malignancies,2B33.Y Other malignant haematopoietic neoplasms without further specification,2B33 Malignant haematopoietic neoplasms without further specification,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,"Haematological malignancies are cancers that affect the blood, bone marrow, and lymph nodes."
248,head and neck cancer,"2C4Z Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",Malignant neoplasms of peripheral nerves or autonomic nervous system,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,"Head and neck cancer is a group of cancers that start in the mouth, nose, throat, larynx, sinuses, or salivary glands."
249,Head and neck squamous cell carcinoma,"2D60.0 Malignant neoplasm metastasis in lymph nodes of head, face or neck",2D60 Malignant neoplasm metastasis in lymph node of a single region,Malignant neoplasm metastasis in lymph nodes,Malignant neoplasm metastases,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Head and Neck Squamous Cell Carcinoma.
250,Hepatocellular carcinoma,2C12.02 Hepatocellular carcinoma of liver,2C12.0 Malignant neoplasm of liver,2C12 Malignant neoplasms of liver or intrahepatic bile ducts,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,A type of primary liver cancer.
251,hereditary breast and ovarian cancer syndrome,2C65 Hereditary breast and ovarian cancer syndrome,Malignant neoplasms of breast,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,"Hereditary breast and ovarian cancer syndrome is an inherited condition that significantly increases the risk of developing breast and ovarian cancers, often associated with mutations in genes like BRCA1 and BRCA2."
252,high-grade ovarian serous carcinoma,2C73.03 High grade serous adenocarcinoma of ovary,2C73.0 Carcinomas of ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,High-grade ovarian serous carcinoma is a type of ovarian cancer.
253,high-grade serous ovarian carcinoma,2C73.03 High grade serous adenocarcinoma of ovary,2C73.0 Carcinomas of ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,High-grade serous ovarian carcinoma (HGSOC) is the most common and aggressive subtype of ovarian cancer.
254,Hodgkin lymphoma,"2B30.Z Hodgkin lymphoma, unspecified",2B30 Hodgkin lymphoma,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,Hodgkin lymphoma is a type of lymphoma characterized by the presence of Reed-Sternberg cells.
255,ileal carcinoid,2B80.11 Neuroendocrine neoplasms of jejunum or ileum,2B80.1 Malignant neoplasms of jejunum or ileum,2B80 Malignant neoplasms of small intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,Ileal carcinoid is a type of neuroendocrine tumor originating in the ileum.
256,infiltrating ductal carcinoma,2C61.0 Invasive ductal carcinoma of breast,2C61 Invasive carcinoma of breast,Malignant neoplasms of breast,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Infiltrating ductal carcinoma is the most common type of invasive breast cancer.
257,intestinal-type adenocarcinoma,2D40 Adenocarcinoma of unspecified site,Malignant neoplasms of ill-defined or unspecified primary sites,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,Intestinal-type adenocarcinoma is a common subtype of gastric cancer with glandular formation.
258,Intra-hepatic cholangiocarcinoma,2C12.10 Intrahepatic cholangiocarcinoma,2C12.1 Malignant neoplasm of intrahepatic bile ducts,2C12 Malignant neoplasms of liver or intrahepatic bile ducts,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,Intra-hepatic cholangiocarcinoma (ICC) is a cancer that originates in the bile ducts within the liver.
259,Kaposi's sarcoma,2B57.Z Kaposi sarcoma of unspecified primary site,"2B57 Kaposi sarcoma, primary site",Malignant mesenchymal neoplasms,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Kaposi's sarcoma (KS) is a tumor caused by Kaposi's sarcoma-associated herpesvirus (KSHV).
260,kidney cancer,"2C90.Z Malignant neoplasms of kidney, except renal pelvis, unspecified","2C90 Malignant neoplasms of kidney, except renal pelvis",Malignant neoplasms of urinary tract,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Kidney cancer is a type of epithelial cancer of the kidney.
261,Leiomyosarcoma,"2B58.Y Leiomyosarcoma, other specified primary site","2B58 Leiomyosarcoma, primary site",Malignant mesenchymal neoplasms,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Leiomyosarcoma is a type of cancer that arises from smooth muscle cells.
262,leukemia,"2B33.4 Leukaemia, unspecified",2B33 Malignant haematopoietic neoplasms without further specification,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,Leukemia is a group of cancers that usually begin in the bone marrow and result in high numbers of abnormal white blood cells.
263,Li-Fraumeni Syndrome,2B51.Y Osteosarcoma of bone and articular cartilage of other specified sites,"2B51 Osteosarcoma, primary site",Malignant mesenchymal neoplasms,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Li-Fraumeni Syndrome (LFS) is a rare hereditary disorder caused by germline pathogenic variants in the TP53 gene, predisposing individuals to a wide range of cancers."
264,liver cancer,"2C12.0Z Malignant neoplasm of liver, unspecified",2C12.0 Malignant neoplasm of liver,2C12 Malignant neoplasms of liver or intrahepatic bile ducts,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,Liver cancer is a cancer that begins in the cells of the liver.
265,lung adenocarcinoma,2C25.0 Adenocarcinoma of bronchus or lung,2C25 Malignant neoplasms of bronchus or lung,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Lung adenocarcinoma (LUAD) is a type of non-small cell lung cancer that originates in the glandular cells of the lung.
266,lung cancer,"2C25.Z Malignant neoplasms of bronchus or lung, unspecified",2C25 Malignant neoplasms of bronchus or lung,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Lung cancer is a malignant tumor that begins in the cells of the lungs.
267,lung carcinoma,2C25.5 Unspecified malignant epithelial neoplasm of bronchus or lung,2C25 Malignant neoplasms of bronchus or lung,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Lung carcinoma is a type of cancer that begins in the lungs.
268,lung neoplasia,2E62.2 Carcinoma in situ of bronchus or lung,2E62 Carcinoma in situ of middle ear or respiratory system,"In situ neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,"Lung neoplasia refers to the formation of new, abnormal tissue growth in the lung."
269,lung squamous cell carcinoma,2C25.2 Squamous cell carcinoma of bronchus or lung,2C25 Malignant neoplasms of bronchus or lung,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Lung Squamous Cell Carcinoma.
270,malignancy,2D4Z Unspecified malignant neoplasms of unspecified sites,Malignant neoplasms of ill-defined or unspecified primary sites,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,The presence of cancerous cells that have the potential to invade and spread.
271,Malignant melanoma,"2C30.Z Melanoma of skin, unspecified",2C30 Melanoma of skin,Malignant neoplasms of skin,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Malignant melanoma is a type of skin cancer that arises from melanocytes.
272,malignant transformation,2C73.3 Malignant teratoma of ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Malignant transformation is the process by which cells acquire the properties of cancer, such as uncontrolled growth, invasion, and metastasis."
273,melanoma,"2C30.Z Melanoma of skin, unspecified",2C30 Melanoma of skin,Malignant neoplasms of skin,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Melanoma is a type of skin cancer that develops from pigment-producing cells known as melanocytes.
274,multiple myeloma,2A83.1 Plasma cell myeloma,2A83 Plasma cell neoplasms,Mature B-cell neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,"Multiple myeloma is a cancer of plasma cells, a type of white blood cell."
